	0
254	Bifidobacterium longum subsp. longum
255	Bifidobacterium longum subsp. longum
256	Bifidobacterium longum
257	Bifidobacterium longum subsp. longum
258	Bifidobacterium longum
259	Bifidobacterium longum subsp. longum
260	Bifidobacterium longum subsp. longum
261	Bifidobacterium longum subsp. longum
262	Bifidobacterium longum
263	Bifidobacterium longum subsp. longum
264	Bifidobacterium longum
265	NA
266	Bifidobacterium longum
267	Bifidobacterium longum
268	Bifidobacterium longum
269	Bifidobacterium longum subsp. longum
270	Bifidobacterium longum subsp. longum
271	Bifidobacterium longum subsp. longum
272	Bifidobacterium longum
273	Bifidobacterium longum
274	Bifidobacterium longum
275	Bifidobacterium longum
276	Bifidobacterium longum subsp. longum
277	Bifidobacterium longum
278	Bifidobacterium longum subsp. longum
279	Bifidobacterium longum
280	Bifidobacterium longum subsp. longum
281	Bifidobacterium longum
282	Bifidobacterium longum NCC2705
283	Bifidobacterium longum
284	Bifidobacterium longum subsp. longum
285	Bifidobacterium longum
286	Bifidobacterium longum subsp. longum KACC 91563
287	Bifidobacterium longum subsp. longum
288	Bifidobacterium longum D2957
289	Bifidobacterium longum
290	Bifidobacterium longum
291	Bifidobacterium longum
292	Bifidobacterium longum subsp. longum
293	Bifidobacterium longum
294	Bifidobacterium longum
295	Bifidobacterium longum
296	Bifidobacterium longum
297	Bifidobacterium longum subsp. infantis
298	Bifidobacterium longum subsp. longum
299	Bifidobacterium longum subsp. longum 1-5B
300	Bifidobacterium longum
301	Bifidobacterium longum subsp. longum
302	Bifidobacterium longum subsp. longum
303	Bifidobacterium longum subsp. longum
304	Bifidobacterium longum subsp. longum EK5
305	Bifidobacterium longum subsp. longum
306	Bifidobacterium longum subsp. longum
307	Bifidobacterium longum subsp. longum
308	Bifidobacterium longum subsp. longum
309	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
310	Bifidobacterium longum subsp. longum
311	Bifidobacterium longum
312	Bifidobacterium longum subsp. longum
313	Bifidobacterium longum subsp. longum
314	Bifidobacterium longum subsp. longum
