#SampleID	C0047-7E-1A_taxonomic_profile	C0052-7E-1A_taxonomic_profile	C0053-8E-1A_taxonomic_profile	C0058-4E-1A_taxonomic_profile	C0059-4E-1A_taxonomic_profile	C0106-6E-1A_taxonomic_profile	C0107-4E-1A_taxonomic_profile	C0123-3E-1A_taxonomic_profile	C0126-9E-1A_taxonomic_profile	C0127-7E-1A_taxonomic_profile	C0202-6E-1A_taxonomic_profile	C0237-4E-1A_taxonomic_profile	C0286-6E-1A_taxonomic_profile	C0296-6E-1A_taxonomic_profile	C0332-4E-1A_taxonomic_profile	C0469-2E-1A_taxonomic_profile	C0494-2E-1A_taxonomic_profile	C0623-1E-1A_taxonomic_profile	C0660-1E-1A_taxonomic_profile	C0672-1E-1A_taxonomic_profile	C0673-1E-1A_taxonomic_profile	C0679-1E-1A_taxonomic_profile	C0683-1E-1A_taxonomic_profile	C0686-1E-1A_taxonomic_profile	C0688-1E-1A_taxonomic_profile	C0694-1E-1A_taxonomic_profile	C0724-1E-1A_taxonomic_profile	C0725-1E-1A_taxonomic_profile	C0730-1E-1A_taxonomic_profile	C0735-1E-1A_taxonomic_profile	C0743-1E-1A_taxonomic_profile	C0767-1E-1A_taxonomic_profile	C0768-1E-1A_taxonomic_profile	C0784-1E-1A_taxonomic_profile	C0785-1E-1A_taxonomic_profile	C0788-1E-1A_taxonomic_profile	C0789-1E-1A_taxonomic_profile	C0799-1E-1A_taxonomic_profile	C0811-1E-1A_taxonomic_profile	C0825-1E-1A_taxonomic_profile	C0837-1E-1A_taxonomic_profile	C2002-3E-1A_taxonomic_profile	C2014-2E-1A_taxonomic_profile	C2018-3E-1A_taxonomic_profile	M0644-3E-1A_taxonomic_profile	M0647-2E-1A_taxonomic_profile	M0651-2E-1A_taxonomic_profile	M0652-3E-1A_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08049	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0.18486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis|t__GCF_000296505	0	0	0.18486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18963	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis|t__GCF_000159035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18963	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus	0	0	0.00905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_unclassified	0	0	0.00905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	0	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
