	Blon_2331	Blon_2332	Blon_2333	Blon_2334	Blon_2335	Blon_2336	Blon_2337	Blon_2338	Blon_2339	Blon_2340	Blon_2341	Blon_2342	Blon_2343	Blon_2345	Blon_2345	Blon_2346	Blon_2347	Blon_2348	Blon_2349	Blon_2350	Blon_2351	Blon_2352	Blon_2353	Blon_2354	Blon_2355	Blon_2356	Blon_2357	Blon_2358	Blon_2359	Blon_2360	Blon_2361
C0631-1F-2A	-4.110217910768791	-6.641834690646869	-5.266384317507884	-4.939041639512883	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
M0945-1F-1A	-3.4170707305136454	-7.334981863541814	-5.132852925125505	-3.6733752671841247	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0643-1F-1A	-25.328436022934504	-25.328436022934504	-6.519147281160396	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0723-3F-1A	-3.478946134212278	-5.543222407088759	-4.379081123646477	-3.2938856456035936	-25.328436022934504	-25.328436022934504	-25.328436022934504	-6.799055853088796	-3.342356881356365	-2.6757148203140466	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0544_1F_2A	-4.151039905263646	-7.334981863541814	-5.015069889657455	-4.771987555064542	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0594-1F-1A	-5.026508641728546	-25.328436022934504	-25.328436022934504	-7.336936898347617	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
M0709-1F-1A	-3.9278963540764362	-5.948687513919424	-4.2165621942683496	-4.022750908476547	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0506_1F_1A	-4.110217910768791	-6.641834690646869	-4.034240637587395	-3.767404216793571	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0624-1E-1A	-25.328436022934504	-25.328436022934504	-25.328436022934504	-7.336936898347617	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504	-25.328436022934504
C0812-1F-1A	-1.1144856377939198	-1.1203737804189624	-3.9934186430897403	-1.815475995783931	-1.547136886189741	-1.0557047876280932	-0.7446808306540705	-1.0183123462387815	-0.8426789145076832	-0.9384435364897284	-1.0199691613212654	-0.8711168498275468	-0.9204924187027498	-2.0454981410431374	-0.8711168498275468	-0.9204924187027498	-1.1606476795556424	-0.8668979765207834	-0.9666495237899224	-1.1667983831530042	-1.1662709371098245	-2.4792939127637146	-0.9835429588565834	-1.1606476795556424	-1.3640487521334508	-0.8428095224880134	-0.9501122803238057	-0.9707789171318248	-0.7838282864166392	-0.7975704890041958	-0.8064758658445484
